year,-60,-45,-30,-15,0,15,30,45,60
2035,0,0,0.2,0,0,0,0.2,0,0
2036,0,0,0.4,0,0,0,0.4,0,0
2037,0,0,0.6,0,0,0,0.6,0,0
2038,0,0,0.8,0,0,0,0.8,0,0
2039,0,0,1,0,0,0,1,0,0
2040,0,0,1.2,0,0,0,1.2,0,0
2041,0,0,1.4,0,0,0,1.4,0,0
2042,0,0,1.6,0,0,0,1.6,0,0
2043,0,0,1.8,0,0,0,1.8,0,0
2044,0,0,2,0,0,0,2,0,0
2045,0,0,2.2,0,0,0,2.2,0,0
2046,0,0,2.4,0,0,0,2.4,0,0
2047,0,0,2.6,0,0,0,2.6,0,0
2048,0,0,2.8,0,0,0,2.8,0,0
2049,0,0,3,0,0,0,3,0,0
2050,0,0,3.2,0,0,0,3.2,0,0
2051,0,0,3.4,0,0,0,3.4,0,0
2052,0,0,3.6,0,0,0,3.6,0,0
2053,0,0,3.8,0,0,0,3.8,0,0
2054,0,0,4,0,0,0,4,0,0
2055,0,0,4.2,0,0,0,4.2,0,0
2056,0,0,4.4,0,0,0,4.4,0,0
2057,0,0,4.6,0,0,0,4.6,0,0
2058,0,0,4.8,0,0,0,4.8,0,0
2059,0,0,5,0,0,0,5,0,0
2060,0,0,5.2,0,0,0,5.2,0,0
2061,0,0,5.4,0,0,0,5.4,0,0
2062,0,0,5.6,0,0,0,5.6,0,0
2063,0,0,5.8,0,0,0,5.8,0,0
2064,0,0,6,0,0,0,6,0,0
2065,0,0,6.2,0,0,0,6.2,0,0
2066,0,0,6.4,0,0,0,6.4,0,0
2067,0,0,6.6,0,0,0,6.6,0,0
2068,0,0,6.8,0,0,0,6.8,0,0
2069,0,0,7,0,0,0,7,0,0
