year,temperature_without_sai,temperature_target
2035,1.47,1.5
2036,1.5,1.5
2037,1.53,1.5
2038,1.56,1.5
2039,1.59,1.5
2040,1.62,1.5
2041,1.65,1.5
2042,1.68,1.5
2043,1.71,1.5
2044,1.74,1.5
2045,1.77,1.5
2046,1.8,1.5
2047,1.83,1.5
2048,1.86,1.5
2049,1.89,1.5
2050,1.92,1.5
2051,1.95,1.5
2052,1.98,1.5
2053,2.01,1.5
2054,2.04,1.5
2055,2.07,1.5
2056,2.1,1.5
2057,2.13,1.5
2058,2.16,1.5
2059,2.19,1.5
2060,2.22,1.5
2061,2.25,1.5
2062,2.28,1.5
2063,2.31,1.5
2064,2.34,1.5
2065,2.37,1.5
2066,2.4,1.5
2067,2.43,1.5
2068,2.46,1.5
2069,2.49,1.5
